root_id,root_type,root_name,nodeId,id,name,comment,skill_area
601,skill_area_root,"몬스터 누이신관 평화,회복 영역",6010040001,601,"몬스터 누이신관 평화,회복 영역",SC 602 발동,6010040002
100150,skill_area_root,치유의 바람_정신 집중 Lv.1,1001500040001,100150,치유의 바람_정신 집중 Lv.1,,1001500040002
100152,skill_area_root,치유의 바람_정신 집중 Lv.2,1001520040001,100152,치유의 바람_정신 집중 Lv.2,,1001520040002
100154,skill_area_root,치유의 바람_정신 집중 Lv.3,1001540040001,100154,치유의 바람_정신 집중 Lv.3,,1001540040002
100156,skill_area_root,치유의 바람_정신 집중 Lv.4,1001560040001,100156,치유의 바람_정신 집중 Lv.4,,1001560040002
100158,skill_area_root,치유의 바람_정신 집중 Lv.5,1001580040001,100158,치유의 바람_정신 집중 Lv.5,,1001580040002
200301,skill_area_root,회오리 베기_정신 집중 Lv.1,2003010040001,200301,회오리 베기_정신 집중 Lv.1,회오리 베기_정신 집중 Lv.1,2003010040002
200303,skill_area_root,회오리 베기_정신 집중 Lv.2,2003030040001,200303,회오리 베기_정신 집중 Lv.2,회오리 베기_정신 집중 Lv.2,2003030040002
200305,skill_area_root,회오리 베기_정신 집중 Lv.3,2003050040001,200305,회오리 베기_정신 집중 Lv.3,회오리 베기_정신 집중 Lv.3,2003050040002
200307,skill_area_root,회오리 베기_정신 집중 Lv.4,2003070040001,200307,회오리 베기_정신 집중 Lv.4,회오리 베기_정신 집중 Lv.4,2003070040002
200309,skill_area_root,회오리 베기_정신 집중 Lv.5,2003090040001,200309,회오리 베기_정신 집중 Lv.5,회오리 베기_정신 집중 Lv.5,2003090040002
710001,skill_area_root,모두 치유 Lv.1,7100010040001,710001,모두 치유 Lv.1,,7100010040002
800002,skill_area_root,길잡이의 축복,8000020040001,800002,길잡이의 축복,PC대상 이동속도 증가 지역,8000020040002
800005,skill_area_root,토템 이동속도 구슬 효과 영역,8000050040001,800005,토템 이동속도 구슬 효과 영역,,8000050040002
800008,skill_area_root,토템 공격속도 구슬 효과 영역,8000080040001,800008,토템 공격속도 구슬 효과 영역,,8000080040002
800017,skill_area_root,토템 시전감소 구슬 효과 영역,8000170040001,800017,토템 시전감소 구슬 효과 영역,,8000170040002
800020,skill_area_root,강인한 생명력 구슬 영역,8000200040001,800020,강인한 생명력 구슬 영역,,8000200040002
800024,skill_area_root,샘솟는 마나샘 구슬 영역,8000240040001,800024,샘솟는 마나샘 구슬 영역,,8000240040002
21000002,skill_area_root,몬스터 이즈나의 메아리 - 데로스 직속 부하의 망령 강화(영역),210000020040001,21000002,몬스터 이즈나의 메아리 - 데로스 직속 부하의 망령 강화(영역),SC 21000002,210000020040002
29000007,skill_area_root,[누이신전] 경비병 시야영역 Area 표시 및 대상 감지용,290000070040001,29000007,[누이신전] 경비병 시야영역 Area 표시 및 대상 감지용,,290000070040002
29000010,skill_area_root,[누이신전] PC에 의해 발생한 몬스터 어그로 디버프,290000100040001,29000010,[누이신전] PC에 의해 발생한 몬스터 어그로 디버프,SC 29000010	[누이신전] PC에 의해 발생한 몬스터 어그로 디버프,290000100040002
30350001,skill_area_root,말카바돈 화염지대,303500010040001,30350001,말카바돈 화염지대,,303500010040002
