OID,SpawnerId,Name,ActorCategory,Cid,Interval,bRoaming,bIsMinion,bQuestSpawner,bSpawnOnlySequence,bInstanceSpawner,NumMaxSpawn,SpawnChance,RetrialCnt,LifeTime,Points,Rotations,AIPathCids,bEventDespawn,InitialTimeMin,InitialTimeMax
1,10802003,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1339340420,Monster,10802103,0,True,False,False,False,False,1,1000,0,0,"((X=202400.000000,Y=-121100.000000,Z=-1982.822286))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
2,10802001,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1339320419,Monster,10802101,0,True,False,False,False,False,1,1000,0,0,"((X=202104.581736,Y=-120979.467639,Z=-1989.866967))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
3,10802005,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1169483393,Monster,10802301,0,True,False,False,False,False,1,1000,0,0,"((X=204320.000000,Y=-121640.000000,Z=-1972.720877))","((X=-0.000000,Y=0.000000,Z=-0.258819,W=0.965926))","(0)",False,0,0
4,10802003,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1333836418,Monster,10802103,0,True,False,False,False,False,1,1000,0,0,"((X=204180.000000,Y=-121260.000000,Z=-1961.311290))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
5,10802001,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1358870429,Monster,10802101,0,True,False,False,False,False,1,1000,0,0,"((X=199674.581736,Y=-118679.467639,Z=-1716.794750))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
6,10802005,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1183195395,Monster,10802301,0,True,False,False,False,False,1,1000,0,0,"((X=197770.000000,Y=-121070.000000,Z=-1951.766749))","((X=-0.000000,Y=0.000000,Z=-0.258819,W=0.965926))","(0)",False,0,0
7,10802001,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1352226425,Monster,10802101,0,True,False,False,False,False,1,1000,0,0,"((X=199774.581736,Y=-120679.467639,Z=-1974.846149))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
8,10802001,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1355712427,Monster,10802101,0,True,False,False,False,False,1,1000,0,0,"((X=198124.581736,Y=-120869.467639,Z=-1941.758619))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
9,10802003,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1329160414,Monster,10802103,0,True,False,False,False,False,1,1000,0,0,"((X=203850.000000,Y=-122540.000000,Z=-1975.832657))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
10,10802003,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1355730428,Monster,10802103,0,True,False,False,False,False,1,1000,0,0,"((X=198420.000000,Y=-120990.000000,Z=-1956.260211))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
11,10802005,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1179845394,Monster,10802301,0,True,False,False,False,False,1,1000,0,0,"((X=202210.000000,Y=-119710.000000,Z=-1953.000780))","((X=-0.000000,Y=0.000000,Z=-0.258819,W=0.965926))","(0)",False,0,0
12,10802003,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1331538416,Monster,10802103,0,True,False,False,False,False,1,1000,0,0,"((X=203410.000000,Y=-122140.000000,Z=-1956.952649))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
13,10802003,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1347831424,Monster,10802103,0,True,False,False,False,False,1,1000,0,0,"((X=200930.000000,Y=-120080.000000,Z=-1964.231356))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
14,10802001,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1347814423,Monster,10802101,0,True,False,False,False,False,1,1000,0,0,"((X=200634.581736,Y=-119959.467639,Z=-1964.075720))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
15,10802001,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1329143413,Monster,10802101,0,True,False,False,False,False,1,1000,0,0,"((X=203554.581736,Y=-122419.467639,Z=-1977.482681))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
16,10802003,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1344425422,Monster,10802103,0,True,False,False,False,False,1,1000,0,0,"((X=202060.000000,Y=-119390.000000,Z=-1949.736017))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
17,10802005,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1186390396,Monster,10802301,0,True,False,False,False,False,1,1000,0,0,"((X=199520.000000,Y=-118410.000000,Z=-1624.586997))","((X=-0.000000,Y=0.000000,Z=-0.258819,W=0.965926))","(0)",False,0,0
18,10802001,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1333821417,Monster,10802101,0,True,False,False,False,False,1,1000,0,0,"((X=203884.581736,Y=-121139.467639,Z=-1921.931164))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
19,10802003,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1358883430,Monster,10802103,0,True,False,False,False,False,1,1000,0,0,"((X=199970.000000,Y=-118800.000000,Z=-1775.352623))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
20,10802001,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1331520415,Monster,10802101,0,True,False,False,False,False,1,1000,0,0,"((X=203114.581736,Y=-122019.467639,Z=-1990.919965))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
21,10802001,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1344408421,Monster,10802101,0,True,False,False,False,False,1,1000,0,0,"((X=201764.581736,Y=-119269.467639,Z=-1937.269542))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
22,10802003,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1352242426,Monster,10802103,0,True,False,False,False,False,1,1000,0,0,"((X=200070.000000,Y=-120800.000000,Z=-1987.080892))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
23,10401004,PointFixedUnitSpawner_C_UAID_107C61B20389B1A802_2101188210,Monster,10401104,0,True,False,False,False,False,1,1000,0,0,"((X=214850.000000,Y=-124940.000000,Z=-1394.596582))","((X=0.000000,Y=-0.000000,Z=0.422618,W=0.906308))","(0)",False,0,0
24,10802001,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1323774411,Monster,10802101,0,True,False,False,False,False,1,1000,0,0,"((X=205844.581736,Y=-122079.467639,Z=-1972.721029))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
25,10401004,PointFixedUnitSpawner_C_UAID_107C61B20389B1A802_2083294204,Monster,10401104,0,True,False,False,False,False,1,1000,0,0,"((X=214660.000000,Y=-123140.000000,Z=-1395.701950))","((X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107))","(0)",False,0,0
26,10802001,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1283462399,Monster,10802101,0,True,False,False,False,False,1,1000,0,0,"((X=209818.826858,Y=-120902.224359,Z=-1399.150013))","((X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107))","(0)",False,0,0
27,10802003,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1299338404,Monster,10802103,0,True,False,False,False,False,1,1000,0,0,"((X=210090.000000,Y=-122130.000000,Z=-1392.984445))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
28,10401004,PointFixedUnitSpawner_C_UAID_107C61B20389B1A802_2093480208,Monster,10401104,0,True,False,False,False,False,1,1000,0,0,"((X=215560.000000,Y=-125520.000000,Z=-1431.999438))","((X=0.000000,Y=-0.000000,Z=0.642788,W=0.766044))","(0)",False,0,0
29,10401001,PointFixedUnitSpawner_C_UAID_107C61B20389B1A802_2127961211,Monster,10401101,0,True,False,False,False,False,1,1000,0,0,"((X=216565.418269,Y=-123550.532347,Z=-1394.595392))","((X=-0.000000,Y=0.000000,Z=-0.819152,W=0.573576))","(0)",False,0,0
30,10401004,PointFixedUnitSpawner_C_UAID_107C61B20389B1A802_1912213195,Monster,10401104,0,True,False,False,False,False,1,1000,0,0,"((X=216790.000000,Y=-125070.000000,Z=-1399.270882))","((X=0.000000,Y=-0.000000,Z=0.965926,W=0.258819))","(0)",False,0,0
31,10401001,PointFixedUnitSpawner_C_UAID_107C61B20389B1A802_2085982205,Monster,10401101,0,True,False,False,False,False,1,1000,0,0,"((X=213980.000013,Y=-124230.000008,Z=-1395.281217))","((X=-0.000000,Y=0.000000,Z=-0.258819,W=0.965926))","(0)",False,0,0
32,10802001,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1105626389,Monster,10802101,0,True,False,False,False,False,1,1000,0,0,"((X=210874.581725,Y=-123579.467668,Z=-1824.485784))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
