root_id,root_type,root_name,nodeId,comment,duration,source_status_change_cid,target_status_change_cids,beam_effect_name,movable,use_absolute_rotation,channeling_stop_types,loop_anim_name,end_anim_name
100150,skill_root,치유의 바람_정신 집중 Lv.1,1001500020006,치유의 바람,5000,100150,[],,true,false,"[""Manual""]",Nu_F_Staff_Co_Skill_08_MO,
100152,skill_root,치유의 바람_정신 집중 Lv.2,1001520020006,치유의 바람,5000,100152,[],,true,false,"[""Manual""]",Nu_F_Staff_Co_Skill_08_MO,
100154,skill_root,치유의 바람_정신 집중 Lv.3,1001540020006,치유의 바람,5000,100154,[],,true,false,"[""Manual""]",Nu_F_Staff_Co_Skill_08_MO,
100156,skill_root,치유의 바람_정신 집중 Lv.4,1001560020006,치유의 바람,5000,100156,[],,true,false,"[""Manual""]",Nu_F_Staff_Co_Skill_08_MO,
100158,skill_root,치유의 바람_정신 집중 Lv.5,1001580020006,치유의 바람,5000,100158,[],,true,false,"[""Manual""]",Nu_F_Staff_Co_Skill_08_MO,
200301,skill_root,회오리 베기 Lv.1,2003010020006,회오리 베기 Lv.1,2000,200301,[],,true,true,"[""Manual""]",Nu_F_Twohand_Co_Skill_04_MO,
200303,skill_root,회오리 베기 Lv.2,2003030020006,회오리 베기 Lv.2,2000,200303,[],,true,true,"[""Manual""]",Nu_F_Twohand_Co_Skill_04_MO,
200305,skill_root,회오리 베기 Lv.3,2003050020006,회오리 베기 Lv.3,2000,200305,[],,true,true,"[""Manual""]",Nu_F_Twohand_Co_Skill_04_MO,
200307,skill_root,회오리 베기 Lv.4,2003070020006,회오리 베기 Lv.4,2000,200307,[],,true,true,"[""Manual""]",Nu_F_Twohand_Co_Skill_04_MO,
200309,skill_root,회오리 베기 Lv.5,2003090020006,회오리 베기 Lv.5,2000,200309,[],,true,true,"[""Manual""]",Nu_F_Twohand_Co_Skill_04_MO,
710000,skill_root,모두 치유 Lv.1,7100000020006,,500,710000,[],,false,false,"[""Manual""]",,
1000001,skill_root,정신 집중 Lv.1,10000010020006,,5000,1000001,[],,true,false,"[""Manual""]",fabric_helm_meditation,
1000002,skill_root,정신 집중 Lv.2,10000020020006,,5000,1000002,[],,true,false,"[""Manual""]",fabric_helm_meditation,
1000003,skill_root,정신 집중 Lv.3,10000030020006,,5000,1000003,[],,true,false,"[""Manual""]",fabric_helm_meditation,
1000004,skill_root,정신 집중 Lv.4,10000040020006,,5000,1000004,[],,true,false,"[""Manual""]",fabric_helm_meditation,
1000005,skill_root,정신 집중 Lv.5,10000050020006,,5000,1000005,[],,true,false,"[""Manual""]",fabric_helm_meditation,
1100001,skill_root,숨 고르기  Lv.1,11000010020006,,5000,1100001,[],,true,false,"[""Manual""]",leather_helm_recovery,
1100002,skill_root,숨 고르기  Lv.2,11000020020006,,5000,1100002,[],,true,false,"[""Manual""]",leather_helm_recovery,
1100003,skill_root,숨 고르기  Lv.3,11000030020006,,5000,1100003,[],,true,false,"[""Manual""]",leather_helm_recovery,
1100004,skill_root,숨 고르기  Lv.4,11000040020006,,5000,1100004,[],,true,false,"[""Manual""]",leather_helm_recovery,
1100005,skill_root,숨 고르기  Lv.5,11000050020006,,5000,1100005,[],,true,false,"[""Manual""]",leather_helm_recovery,
