root_id,root_type,root_name,nodeId,id,name,comment,skill
1,skill_root,에러 방지용,10020001,1,에러 방지용,에러 방지용,10020002
8000,skill_root,구르기,80000020001,8000,구르기,,80000020002
9000,skill_root,공용 : 일반 공격 (왼쪽),90000020001,9000,공용 : 일반 공격 (왼쪽),,90000020002
9001,skill_root,공용 : 일반 공격 (오른쪽),90010020001,9001,공용 : 일반 공격 (오른쪽),,90010020002
9002,skill_root,한손검 : 평타 (1타),90020020001,9002,한손검 : 평타 (1타),,90020020002
9003,skill_root,한손검 : 평타 (2타),90030020001,9003,한손검 : 평타 (2타),,90030020002
9004,skill_root,양손검 : 평타 (1타),90040020001,9004,양손검 : 평타 (1타),,90040020002
9005,skill_root,양손검 : 평타 (2타),90050020001,9005,양손검 : 평타 (2타),,90050020002
9006,skill_root,단검 : 평타 (1타),90060020001,9006,단검 : 평타 (1타),,90060020002
9007,skill_root,단검 : 평타 (2타),90070020001,9007,단검 : 평타 (2타),,90070020002
9008,skill_root,활 : 평타 (1타),90080020001,9008,활 : 평타 (1타),,90080020002
9009,skill_root,활 : 평타 (2타),90090020001,9009,활 : 평타 (2타),,90090020002
9010,skill_root,지팡이 : 평타 (1타),90100020001,9010,지팡이 : 평타 (1타),,90100020002
9011,skill_root,지팡이 : 평타 (2타),90110020001,9011,지팡이 : 평타 (2타),,90110020002
9012,skill_root,힐러 지팡이 : 평타 (1타),90120020001,9012,힐러 지팡이 : 평타 (1타),,90120020002
9013,skill_root,힐러 지팡이 : 평타 (2타),90130020001,9013,힐러 지팡이 : 평타 (2타),,90130020002
9016,skill_root,2T 양손검 : 평타 (1타),90160020001,9016,2T 양손검 : 평타 (1타),,90160020002
9017,skill_root,2T 양손검 : 평타 (2타),90170020001,9017,2T 양손검 : 평타 (2타),,90170020002
9018,skill_root,2티어 등장 단검 : 평타 (1타),90180020001,9018,2티어 등장 단검 : 평타 (1타),,90180020002
9019,skill_root,2티어 등장 단검 : 평타 (2타),90190020001,9019,2티어 등장 단검 : 평타 (2타),,90190020002
10000,skill_root,보스 몬스터 카이팅 방지용,100000020001,10000,보스 몬스터 카이팅 방지용,,100000020002
10001,skill_root,단일 leap 테스트 스킬,100010020001,10001,단일 leap 테스트 스킬,,100010020002
10002,skill_root,테스트 스킬,100020020001,10002,테스트 스킬,,100020020002
20001,skill_root,하급 체력 물약,200010020001,20001,하급 체력 물약,,200010020002
20002,skill_root,중급 체력 물약,200020020001,20002,중급 체력 물약,,200020020002
20003,skill_root,상급 체력 물약,200030020001,20003,상급 체력 물약,,200030020002
20004,skill_root,하급 마력 물약,200040020001,20004,하급 마력 물약,,200040020002
20005,skill_root,중급 마력 물약,200050020001,20005,중급 마력 물약,,200050020002
20006,skill_root,상급 마력 물약,200060020001,20006,상급 마력 물약,,200060020002
20007,skill_root,테스트_음식1,200070020001,20007,테스트_음식1,,200070020002
20008,skill_root,테스트_음식2,200080020001,20008,테스트_음식2,,200080020002
20009,skill_root,하급 과일차,200090020001,20009,하급 과일차,,200090020002
20010,skill_root,하급 발효주,200100020001,20010,하급 발효주,,200100020002
20011,skill_root,하급 수프,200110020001,20011,하급 수프,,200110020002
20012,skill_root,하급 샐러드,200120020001,20012,하급 샐러드,,200120020002
20013,skill_root,해산물 스튜,200130020001,20013,해산물 스튜,,200130020002
20014,skill_root,중급 과일차,200140020001,20014,중급 과일차,,200140020002
20015,skill_root,중급 발효주,200150020001,20015,중급 발효주,,200150020002
20016,skill_root,중급 수프,200160020001,20016,중급 수프,,200160020002
20017,skill_root,중급 샐러드,200170020001,20017,중급 샐러드,,200170020002
20018,skill_root,아이템_은신 주문서,200180020001,20018,아이템_은신 주문서,Item 80100003,200180020002
20019,skill_root,아이템_수행원 복장,200190020001,20019,아이템_수행원 복장,Item 80100004,200190020002
30011,skill_root,유체화 1T,300110020001,30011,유체화 1T,,300110020002
30021,skill_root,유체화 2T,300210020001,30021,유체화 2T,,300210020002
30031,skill_root,유체화 3T,300310020001,30031,유체화 3T,,300310020002
30041,skill_root,순풍,300410020001,30041,순풍,,300410020002
30051,skill_root,유체화 5T,300510020001,30051,유체화 5T,,300510020002
30061,skill_root,유체화 6T,300610020001,30061,유체화 6T,,300610020002
30071,skill_root,유체화 7T,300710020001,30071,유체화 7T,,300710020002
30111,skill_root,고양 1T,301110020001,30111,고양 1T,,301110020002
30121,skill_root,고양 2T,301210020001,30121,고양 2T,,301210020002
30131,skill_root,고양 3T,301310020001,30131,고양 3T,,301310020002
30141,skill_root,고양 4T,301410020001,30141,고양 4T,,301410020002
30151,skill_root,고양 5T,301510020001,30151,고양 5T,,301510020002
30161,skill_root,고양 6T,301610020001,30161,고양 6T,,301610020002
30171,skill_root,고양 7T,301710020001,30171,고양 7T,,301710020002
30211,skill_root,점멸 1T,302110020001,30211,점멸 1T,,302110020002
