OID,SpawnerId,Name,ActorCategory,Cid,Interval,bRoaming,bIsMinion,bQuestSpawner,bSpawnOnlySequence,bInstanceSpawner,NumMaxSpawn,SpawnChance,RetrialCnt,LifeTime,Points,Rotations,AIPathCids,bEventDespawn,InitialTimeMin,InitialTimeMax
1,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1799389477,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=181810.000000,Y=-92840.000000,Z=-0.029488))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
2,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1799390478,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=181450.000000,Y=-91620.000000,Z=-0.029644))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
3,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1142819871,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=184401.939376,Y=-95507.029272,Z=-0.029667))","((X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000))","(0)",False,0,0
4,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1781853467,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=190370.000000,Y=-95650.000000,Z=-0.029732))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
5,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1142838872,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=183717.142448,Y=-96691.263255,Z=-0.029575))","((X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000))","(0)",False,0,0
6,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1136353869,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=180729.683479,Y=-93321.385521,Z=-1.575013))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
7,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1276721876,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=190774.952260,Y=-90373.991019,Z=-0.028635))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
8,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1142840873,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=183695.053356,Y=-94758.594225,Z=-4.717141))","((X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000))","(0)",False,0,0
9,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1799386475,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=181840.000000,Y=-93930.000000,Z=-2.692789))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
10,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1136355870,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=183060.000000,Y=-92890.000000,Z=-0.029489))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
11,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1773033464,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=190030.000000,Y=-93300.000000,Z=-0.493002))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
12,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1788104470,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=190490.000000,Y=-97760.000000,Z=-5.803340))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
13,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1131482866,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=184272.123898,Y=-92284.944481,Z=-0.029617))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
14,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1799384473,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=184200.000000,Y=-93410.000000,Z=-0.029564))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
15,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1779848466,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=189000.000000,Y=-95260.000000,Z=-0.029397))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
16,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1767551462,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=187430.000000,Y=-92530.000000,Z=-0.030535))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
17,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B3A802_2145663680,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=190800.000000,Y=-94030.000000,Z=-1.574696))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
18,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1127895863,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=188022.123898,Y=-96744.944481,Z=-0.030252))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
19,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1701723460,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=190760.000000,Y=-92300.000000,Z=-0.030536))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
20,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1799388476,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=183310.000000,Y=-91530.000000,Z=-0.029724))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
21,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1799368471,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=181650.000000,Y=-96660.000000,Z=-0.029551))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
22,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1799385474,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=182640.000000,Y=-94430.000000,Z=-4.098969))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
23,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1774733465,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=187720.000000,Y=-94910.000000,Z=-0.033411))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
24,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1136338868,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=181244.952260,Y=-95003.991019,Z=-0.029629))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
25,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1131483867,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=185620.000000,Y=-93170.000000,Z=-0.029367))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
26,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1764211461,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=188640.000000,Y=-92770.000000,Z=-0.029563))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
27,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B3A802_2145680682,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=189012.123898,Y=-94084.944481,Z=-0.029460))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
28,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1127897864,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=190560.000000,Y=-96510.000000,Z=-0.029895))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
29,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1127875862,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=189694.952260,Y=-97503.991019,Z=-5.964469))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
30,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1131462865,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=184784.952260,Y=-94323.991019,Z=-0.029844))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
31,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1786158469,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=187760.000000,Y=-97870.000000,Z=-0.029438))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
32,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1799383472,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=182500.000000,Y=-95700.000000,Z=-0.029505))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
33,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1769620463,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=187900.000000,Y=-93630.000000,Z=-0.029521))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
34,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1783928468,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=188730.000000,Y=-97200.000000,Z=-0.028807))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
35,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B3A802_2145678681,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=190014.952260,Y=-94733.991019,Z=-0.029674))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
36,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1276720875,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=191560.000000,Y=-89670.000000,Z=-0.029016))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
37,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1276704874,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=190790.000000,Y=-88940.000000,Z=-0.029835))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
38,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1283465878,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=191514.570197,Y=-88394.865344,Z=-0.029302))","((X=-0.000000,Y=0.000000,Z=-0.087156,W=0.996195))","(0)",False,0,0
39,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1283466879,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=190684.952260,Y=-87743.991019,Z=-0.029452))","((X=-0.000000,Y=0.000000,Z=-0.087156,W=0.996195))","(0)",False,0,0
40,10201003,PointFixedUnitSpawner_C_UAID_107C61B20389B4A802_1120659860,Monster,10201103,0,True,False,False,False,False,1,1000,0,0,"((X=192612.123898,Y=-92044.944481,Z=-0.028585))","((X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152))","(0)",False,0,0
41,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1820048481,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=194510.000000,Y=-93970.000000,Z=-1.575145))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
42,10201002,PointFixedUnitSpawner_C_UAID_107C61B20389B2A802_1820032479,Monster,10201102,0,True,False,False,False,False,1,1000,0,0,"((X=193690.000000,Y=-92230.000000,Z=-0.029743))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
