OID,SpawnerId,Name,ActorCategory,Cid,Interval,bRoaming,bIsMinion,bQuestSpawner,bSpawnOnlySequence,bInstanceSpawner,NumMaxSpawn,SpawnChance,RetrialCnt,LifeTime,Points,Rotations,AIPathCids,bEventDespawn,InitialTimeMin,InitialTimeMax
1,10401001,PointFixedUnitSpawner_C_UAID_107C61B20389B7A802_1759745445,Monster,10401101,0,True,False,False,False,False,1,1000,0,0,"((X=161340.000000,Y=-116210.000000,Z=-0.057293))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
2,10401002,PointFixedUnitSpawner_C_UAID_107C61B20389B8A802_1086058737,Monster,10401102,0,True,False,False,False,False,1,1000,0,0,"((X=161160.000000,Y=-116660.000000,Z=-0.057895))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
3,10302001,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1968736949,Monster,10302101,0,True,False,False,False,False,1,1000,0,0,"((X=163430.000000,Y=-102370.000000,Z=-800.071633))","((X=-0.000000,Y=0.000000,Z=-0.906308,W=0.422618))","(0)",False,0,0
4,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1968714947,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=164037.933120,Y=-103623.521967,Z=-794.151749))","((X=-0.000000,Y=0.000000,Z=-0.906308,W=0.422618))","(0)",False,0,0
5,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1981237950,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=162497.933120,Y=-103633.521967,Z=-800.070901))","((X=-0.000000,Y=0.000000,Z=-0.906308,W=0.422618))","(0)",False,0,0
6,10302002,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1968734948,Monster,10302102,0,True,False,False,False,False,1,1000,0,0,"((X=164439.754993,Y=-102694.953616,Z=-793.672059))","((X=-0.000000,Y=0.000000,Z=-0.906308,W=0.422618))","(0)",False,0,0
7,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1958982944,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=161967.933120,Y=-102643.521967,Z=-800.071071))","((X=-0.000000,Y=0.000000,Z=-0.906308,W=0.422618))","(0)",False,0,0
8,10302001,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1948192943,Monster,10302101,0,True,False,False,False,False,1,1000,0,0,"((X=162560.000000,Y=-100230.000000,Z=-796.758551))","((X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107))","(0)",False,0,0
9,10302002,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1941742939,Monster,10302102,0,True,False,False,False,False,1,1000,0,0,"((X=163756.295595,Y=-98788.003345,Z=-800.033850))","((X=-0.000000,Y=0.000000,Z=-0.573576,W=0.819152))","(0)",False,0,0
10,10302001,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1941743940,Monster,10302101,0,True,False,False,False,False,1,1000,0,0,"((X=162970.000000,Y=-99500.000000,Z=-800.033830))","((X=-0.000000,Y=0.000000,Z=-0.573576,W=0.819152))","(0)",False,0,0
11,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1933667935,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=164519.548426,Y=-95490.275481,Z=-737.233264))","((X=-0.000000,Y=0.000000,Z=-0.573576,W=0.819152))","(0)",False,0,0
12,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1941724938,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=164359.548426,Y=-99600.275481,Z=-800.033693))","((X=-0.000000,Y=0.000000,Z=-0.573576,W=0.819152))","(0)",False,0,0
13,10302002,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1958998945,Monster,10302102,0,True,False,False,False,False,1,1000,0,0,"((X=162369.754993,Y=-101714.953616,Z=-800.071088))","((X=-0.000000,Y=0.000000,Z=-0.906308,W=0.422618))","(0)",False,0,0
14,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1930073932,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=165399.548426,Y=-93770.275481,Z=-787.086861))","((X=-0.000000,Y=0.000000,Z=-0.573576,W=0.819152))","(0)",False,0,0
15,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1948175941,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=163831.452171,Y=-100799.481674,Z=-800.033601))","((X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107))","(0)",False,0,0
16,10302002,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1948190942,Monster,10302102,0,True,False,False,False,False,1,1000,0,0,"((X=163542.393364,Y=-99829.870924,Z=-800.033105))","((X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107))","(0)",False,0,0
17,10302001,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1750734899,Monster,10302101,0,True,False,False,False,False,1,1000,0,0,"((X=160945.000000,Y=-90439.000000,Z=-798.536365))","((X=-0.000000,Y=0.000000,Z=-0.173648,W=0.984808))","(0)",False,0,0
18,10302001,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1930095934,Monster,10302101,0,True,False,False,False,False,1,1000,0,0,"((X=164010.000000,Y=-93670.000000,Z=-800.033253))","((X=-0.000000,Y=0.000000,Z=-0.573576,W=0.819152))","(0)",False,0,0
19,10302001,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1933688937,Monster,10302101,0,True,False,False,False,False,1,1000,0,0,"((X=163130.000000,Y=-95390.000000,Z=-798.473865))","((X=-0.000000,Y=0.000000,Z=-0.573576,W=0.819152))","(0)",False,0,0
20,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1830206901,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=162550.000000,Y=-89380.000000,Z=-722.058380))","((X=-0.000000,Y=0.000000,Z=-0.173648,W=0.984808))","(0)",False,0,0
21,10302002,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1933687936,Monster,10302102,0,True,False,False,False,False,1,1000,0,0,"((X=163916.295595,Y=-94678.003345,Z=-752.413865))","((X=-0.000000,Y=0.000000,Z=-0.573576,W=0.819152))","(0)",False,0,0
22,10302002,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1930093933,Monster,10302102,0,True,False,False,False,False,1,1000,0,0,"((X=164796.295595,Y=-92958.003345,Z=-782.532227))","((X=-0.000000,Y=0.000000,Z=-0.573576,W=0.819152))","(0)",False,0,0
23,10302001,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1958999946,Monster,10302101,0,True,False,False,False,False,1,1000,0,0,"((X=161360.000000,Y=-101390.000000,Z=-800.033111))","((X=-0.000000,Y=0.000000,Z=-0.906308,W=0.422618))","(0)",False,0,0
24,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1880818905,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=164890.044639,Y=-88578.974585,Z=-685.960544))","((X=-0.000000,Y=0.000000,Z=-0.422618,W=0.906308))","(0)",False,0,0
25,10302002,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1814161900,Monster,10302102,0,True,False,False,False,False,1,1000,0,0,"((X=161540.000000,Y=-89320.000000,Z=-749.390116))","((X=-0.000000,Y=0.000000,Z=-0.173648,W=0.984808))","(0)",False,0,0
26,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1915399929,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=164499.548426,Y=-86350.275481,Z=-685.959885))","((X=-0.000000,Y=0.000000,Z=-0.573576,W=0.819152))","(0)",False,0,0
27,10302001,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1880836907,Monster,10302101,0,True,False,False,False,False,1,1000,0,0,"((X=163550.000000,Y=-88960.000000,Z=-680.814087))","((X=-0.000000,Y=0.000000,Z=-0.422618,W=0.906308))","(0)",False,0,0
28,10302002,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1886956909,Monster,10302102,0,True,False,False,False,False,1,1000,0,0,"((X=166145.358976,Y=-86902.013068,Z=-685.960914))","((X=-0.000000,Y=0.000000,Z=-0.422618,W=0.906308))","(0)",False,0,0
29,10302001,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1876166904,Monster,10302101,0,True,False,False,False,False,1,1000,0,0,"((X=161880.000000,Y=-88410.000000,Z=-691.418482))","((X=-0.000000,Y=0.000000,Z=-0.173648,W=0.984808))","(0)",False,0,0
30,10302001,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1915418931,Monster,10302101,0,True,False,False,False,False,1,1000,0,0,"((X=163110.000000,Y=-86250.000000,Z=-687.519649))","((X=-0.000000,Y=0.000000,Z=-0.573576,W=0.819152))","(0)",False,0,0
31,10302002,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1880835906,Monster,10302102,0,True,False,False,False,False,1,1000,0,0,"((X=164170.358976,Y=-88152.013068,Z=-616.844963))","((X=-0.000000,Y=0.000000,Z=-0.422618,W=0.906308))","(0)",False,0,0
32,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1876146902,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=162850.000000,Y=-87410.000000,Z=-685.960436))","((X=-0.000000,Y=0.000000,Z=-0.173648,W=0.984808))","(0)",False,0,0
33,10302002,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1876165903,Monster,10302102,0,True,False,False,False,False,1,1000,0,0,"((X=161840.000000,Y=-87350.000000,Z=-687.519629))","((X=-0.000000,Y=0.000000,Z=-0.173648,W=0.984808))","(0)",False,0,0
34,10302001,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1886957910,Monster,10302101,0,True,False,False,False,False,1,1000,0,0,"((X=165650.000000,Y=-87840.000000,Z=-685.959436))","((X=-0.000000,Y=0.000000,Z=-0.422618,W=0.906308))","(0)",False,0,0
35,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1893612911,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=168970.044639,Y=-87428.974585,Z=-675.045677))","((X=-0.000000,Y=0.000000,Z=-0.422618,W=0.906308))","(0)",False,0,0
36,10302002,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1893629912,Monster,10302102,0,True,False,False,False,False,1,1000,0,0,"((X=168125.358976,Y=-86872.013068,Z=-675.045611))","((X=-0.000000,Y=0.000000,Z=-0.422618,W=0.906308))","(0)",False,0,0
37,10302001,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1897351916,Monster,10302101,0,True,False,False,False,False,1,1000,0,0,"((X=167090.000000,Y=-86240.000000,Z=-685.959857))","((X=-0.000000,Y=0.000000,Z=-0.422618,W=0.906308))","(0)",False,0,0
38,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1886937908,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=166990.044639,Y=-87458.974585,Z=-675.045451))","((X=-0.000000,Y=0.000000,Z=-0.422618,W=0.906308))","(0)",False,0,0
39,10302004,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1897331914,Monster,10302301,0,True,False,False,False,False,1,1000,0,0,"((X=168430.044639,Y=-85858.974585,Z=-675.043877))","((X=-0.000000,Y=0.000000,Z=-0.422618,W=0.906308))","(0)",False,0,0
40,10302001,PointFixedUnitSpawner_C_UAID_107C61B20389B5A802_1893631913,Monster,10302101,0,True,False,False,False,False,1,1000,0,0,"((X=167630.000000,Y=-87810.000000,Z=-675.044412))","((X=-0.000000,Y=0.000000,Z=-0.422618,W=0.906308))","(0)",False,0,0
41,10401001,PointFixedUnitSpawner_C_UAID_107C61B20389B7A802_2090190481,Monster,10401101,0,True,False,False,False,False,1,1000,0,0,"((X=153360.000000,Y=-125060.000000,Z=2581.680338))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
42,10401002,PointFixedUnitSpawner_C_UAID_107C61B20389B8A802_1086022701,Monster,10401102,0,True,False,False,False,False,1,1000,0,0,"((X=153180.000000,Y=-125510.000000,Z=2581.680338))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
43,10401002,PointFixedUnitSpawner_C_UAID_107C61B20389B8A802_1086030708,Monster,10401102,0,True,False,False,False,False,1,1000,0,0,"((X=163260.000000,Y=-133560.000000,Z=2346.677059))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
44,10401002,PointFixedUnitSpawner_C_UAID_107C61B20389B8A802_1086029707,Monster,10401102,0,True,False,False,False,False,1,1000,0,0,"((X=164670.000000,Y=-133360.000000,Z=2369.449760))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
45,10401001,PointFixedUnitSpawner_C_UAID_107C61B20389B7A802_2079648478,Monster,10401101,0,True,False,False,False,False,1,1000,0,0,"((X=158720.000000,Y=-128430.000000,Z=2612.152207))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
46,10401002,PointFixedUnitSpawner_C_UAID_107C61B20389B8A802_1086028706,Monster,10401102,0,True,False,False,False,False,1,1000,0,0,"((X=161220.000000,Y=-131840.000000,Z=2451.050666))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
47,10401001,PointFixedUnitSpawner_C_UAID_107C61B20389B7A802_2037422474,Monster,10401101,0,True,False,False,False,False,1,1000,0,0,"((X=162970.000000,Y=-133330.000000,Z=2364.628132))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
48,10401001,PointFixedUnitSpawner_C_UAID_107C61B20389B7A802_2084409479,Monster,10401101,0,True,False,False,False,False,1,1000,0,0,"((X=155750.000000,Y=-127950.000000,Z=2638.843541))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
49,10401001,PointFixedUnitSpawner_C_UAID_107C61B20389B7A802_2008678465,Monster,10401101,0,True,False,False,False,False,1,1000,0,0,"((X=166350.000000,Y=-134030.000000,Z=2484.341730))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
50,10401001,PointFixedUnitSpawner_C_UAID_107C61B20389B7A802_2037403473,Monster,10401101,0,True,False,False,False,False,1,1000,0,0,"((X=163350.000000,Y=-131930.000000,Z=2483.725715))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
51,10401002,PointFixedUnitSpawner_C_UAID_107C61B20389B8A802_1086031709,Monster,10401102,0,True,False,False,False,False,1,1000,0,0,"((X=163050.000000,Y=-131660.000000,Z=2512.742420))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
52,10401002,PointFixedUnitSpawner_C_UAID_107C61B20389B8A802_1086027705,Monster,10401102,0,True,False,False,False,False,1,1000,0,0,"((X=159470.000000,Y=-130020.000000,Z=2536.046020))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
53,10901002,PointFixedUnitSpawner_C_UAID_107C61B20389B8A802_1513169738,Monster,10901502,0,True,False,False,False,False,1,1000,0,0,"((X=164950.000000,Y=-135970.000000,Z=2614.017811))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
54,10401001,PointFixedUnitSpawner_C_UAID_107C61B20389B7A802_2037423475,Monster,10401101,0,True,False,False,False,False,1,1000,0,0,"((X=164490.000000,Y=-133050.000000,Z=2407.013608))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
55,10401001,PointFixedUnitSpawner_C_UAID_107C61B20389B7A802_2054940476,Monster,10401101,0,True,False,False,False,False,1,1000,0,0,"((X=160960.000000,Y=-131660.000000,Z=2452.378828))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
56,10401001,PointFixedUnitSpawner_C_UAID_107C61B20389B7A802_2075201477,Monster,10401101,0,True,False,False,False,False,1,1000,0,0,"((X=159970.000000,Y=-129630.000000,Z=2570.563229))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
