root_id,root_type,root_name,nodeId,comment,status_tag_condition_cids,chance,damage_type,cri_use,dodge_use,skill_d_m_g_minper,skill_d_m_g_maxper,skill_d_m_gadd,dot_d_m_gper,current_h_p_d_m_gper,max_h_p_d_m_gper,stack_status_change_cids,stack_d_m_gper,stack_d_m_gadd,is_remove_stack_status_change,f_x_name,cri_f_x_name
1,skill_root,에러 방지용,10020006,,[],0,Physical,false,false,1000,1000,0,0,0,0,[],0,0,false,,
1,skill_effect_root,에러방지용,10030003,,[],0,Physical,false,false,1000,1000,0,0,0,0,[],0,0,false,,
101,skill_effect_root,중독 Lv.1,1010030003,중독 Lv.1,[],1000,Physical,false,false,600,600,0,0,0,0,[],0,0,false,Nu_Dagger_State_Posioning_Dot,
102,skill_effect_root,중독 Lv.2,1020030003,중독 Lv.2,[],1000,Physical,false,false,660,660,0,0,0,0,[],0,0,false,Nu_Dagger_State_Posioning_Dot,
103,skill_effect_root,중독 Lv.3,1030030003,중독 Lv.3,[],1000,Physical,false,false,720,720,0,0,0,0,[],0,0,false,Nu_Dagger_State_Posioning_Dot,
104,skill_effect_root,중독 Lv.4,1040030003,중독 Lv.4,[],1000,Physical,false,false,780,780,0,0,0,0,[],0,0,false,Nu_Dagger_State_Posioning_Dot,
105,skill_effect_root,중독 Lv.5,1050030003,중독 Lv.5,[],1000,Physical,false,false,840,840,0,0,0,0,[],0,0,false,Nu_Dagger_State_Posioning_Dot,
9000,skill_root,공용 : 일반 공격 (왼쪽),90000020006,공용 : 일반 공격 (왼쪽),[],1000,Physical,true,true,1000,1000,0,0,0,0,[],0,0,false,NS_Hit_Fist_Normal,NS_Hit_Fist_Critical
9001,skill_root,공용 : 일반 공격 (오른쪽),90010020006,공용 : 일반 공격 (오른쪽),[],1000,Physical,true,true,1000,1000,0,0,0,0,[],0,0,false,NS_Hit_Fist_Normal,NS_Hit_Fist_Critical
9002,skill_root,한손검 : 평타 (1타),90020020006,한손검 : 평타 (1타),[],1000,Physical,true,true,1000,1000,0,0,0,0,[],0,0,false,Common_Normal02_Hit,
9003,skill_root,한손검 : 평타 (2타),90030020006,한손검 : 평타 (2타),[],1000,Physical,true,true,1000,1000,0,0,0,0,[],0,0,false,Common_Normal02_Hit,
9004,skill_root,양손검 : 평타 (1타),90040020006,양손검 : 평타 (1타),[],1000,Physical,true,true,1000,1000,0,0,0,0,[],0,0,false,Common_Normal02_Hit,
9004,skill_root,양손검 : 평타 (1타),90040020010,가벼운 손놀림 (대미지),[],1000,Physical,true,true,2000,2000,0,0,0,0,[],0,0,false,NS_S_StrongHit_TwohandSword_V,
9004,skill_root,양손검 : 평타 (1타),90040020015,가벼운 손놀림 (대미지),[],1000,Physical,true,true,2200,2200,0,0,0,0,[],0,0,false,NS_S_StrongHit_TwohandSword_V,
9004,skill_root,양손검 : 평타 (1타),90040020020,가벼운 손놀림 (대미지),[],1000,Physical,true,true,2400,2400,0,0,0,0,[],0,0,false,NS_S_StrongHit_TwohandSword_V,
9004,skill_root,양손검 : 평타 (1타),90040020025,가벼운 손놀림 (대미지),[],1000,Physical,true,true,2600,2600,0,0,0,0,[],0,0,false,NS_S_StrongHit_TwohandSword_V,
9004,skill_root,양손검 : 평타 (1타),90040020030,가벼운 손놀림 (대미지),[],1000,Physical,true,true,2800,2800,0,0,0,0,[],0,0,false,NS_S_StrongHit_TwohandSword_V,
9004,skill_root,양손검 : 평타 (1타),90040020035,1티어 양손검 W 스킬 Lv.1,[],1000,Physical,true,true,2800,2800,0,0,0,0,[],0,0,false,Nu_Twohand_1T_W_Hit,Nu_Twohand_1T_W_Hit
9005,skill_root,양손검 : 평타 (2타),90050020006,한손검 : 평타 (2타),[],1000,Physical,true,true,1000,1000,0,0,0,0,[],0,0,false,Common_Normal02_Hit,
9005,skill_root,양손검 : 평타 (2타),90050020010,가벼운 손놀림 (대미지),[],1000,Physical,true,true,2000,2000,0,0,0,0,[],0,0,false,NS_S_StrongHit_TwohandSword_V,
9005,skill_root,양손검 : 평타 (2타),90050020015,가벼운 손놀림 (대미지),[],1000,Physical,true,true,2200,2200,0,0,0,0,[],0,0,false,NS_S_StrongHit_TwohandSword_V,
9005,skill_root,양손검 : 평타 (2타),90050020020,가벼운 손놀림 (대미지),[],1000,Physical,true,true,2400,2400,0,0,0,0,[],0,0,false,NS_S_StrongHit_TwohandSword_V,
9005,skill_root,양손검 : 평타 (2타),90050020025,가벼운 손놀림 (대미지),[],1000,Physical,true,true,2600,2600,0,0,0,0,[],0,0,false,NS_S_StrongHit_TwohandSword_V,
